Season,Week,Celebrity,PV_mean,PV_median,PV_sd,PV_cv,PV_ci95_low,PV_ci95_high,PV_ci95_width,Rank_mean
1,2,Evander Holyfield,0.33213773303336436,0.33355296864310785,0.0717142958936932,0.21591734019118283,0.18766285715143574,0.46938117925877626,0.2817183221073405,1.286
1,2,Joey McIntyre,0.14063935345659212,0.141029015993187,0.028547596728533686,0.20298441387065114,0.08862318219001028,0.20754260775193284,0.11891942556192256,3.473
1,2,John O'Hurley,0.08730598144613201,0.07863070837731992,0.04712118699308135,0.5397246123641051,0.027366387812868747,0.1839428324548597,0.15657644464199097,4.443
1,2,Kelly Monaco,0.19334910655238513,0.22110032459630774,0.0858711911508034,0.4441250993189247,0.08011522131631225,0.32740869489039615,0.24729347357408388,2.951
1,2,Rachel Hunter,0.1956581370614237,0.16193619298487072,0.08393016765006164,0.42896333835435185,0.10930523013208901,0.4270036227194458,0.31769839258735677,2.864
1,2,Trista Sutter,0.05090968845010269,0.055208163329000116,0.026132547477033877,0.5133118719170077,0.014297272899788882,0.0921793155929619,0.07788204269317302,5.983
1,3,Evander Holyfield,0.10132114911914522,0.09885202006703409,0.03656515164067904,0.3608837045233417,0.03837486590292666,0.17364131347327905,0.1352664475703524,4.153
1,3,Joey McIntyre,0.22032932257458596,0.18868991672808955,0.13897085246888444,0.6307415229393263,0.04731102947592898,0.4607115134996632,0.41340048402373425,2.531
1,3,John O'Hurley,0.18307267774236152,0.1559970109411298,0.09485982368842892,0.5181539094649902,0.07890397941709744,0.34111732316892635,0.2622133437518289,2.797
1,3,Kelly Monaco,0.10028761538465136,0.08031043525495946,0.06548948311775558,0.6530166548139752,0.02419350582296305,0.23754425594238002,0.21335075011941695,3.543
1,3,Rachel Hunter,0.39498923517925594,0.3186423334471462,0.19501248102403185,0.49371593870281133,0.1506403832511198,0.6769224120051531,0.5262820287540333,1.976
