Season,Week,Celebrity,Rank_mean_rank_twostep,Rank_mean_percent_twostep,AbsDiff
28,2,Ally Brooke,7.388333333333334,8.096666666666666,0.7083333333333321
28,2,Hannah Brown,3.723333333333333,3.605,0.11833333333333318
28,2,James Van Der Beek,4.948333333333333,5.401666666666666,0.45333333333333314
28,2,Karamo Brown,4.141666666666667,4.136666666666667,0.004999999999999893
28,2,Kate Flannery,3.901666666666667,3.4566666666666666,0.4450000000000003
28,2,Kel Mitchell,4.098333333333334,3.506666666666667,0.5916666666666668
28,2,Lamar Odom,10.841666666666667,11.576666666666666,0.7349999999999994
28,2,Lauren Alaina,7.235,7.005,0.23000000000000043
28,2,Mary Wilson,7.825,7.173333333333333,0.6516666666666673
28,2,Ray Lewis,11.06,10.73,0.33000000000000007
28,2,Sailor Brinkley-Cook,5.363333333333333,5.553333333333334,0.1900000000000004
28,2,Sean Spicer,7.473333333333334,7.758333333333334,0.28500000000000014
28,4,Ally Brooke,4.468333333333334,4.705,0.23666666666666636
28,4,Hannah Brown,4.136666666666667,4.158333333333333,0.0216666666666665
28,4,James Van Der Beek,5.92,4.876666666666667,1.043333333333333
28,4,Karamo Brown,6.386666666666667,6.415,0.02833333333333332
28,4,Kate Flannery,7.868333333333333,8.555,0.6866666666666665
28,4,Kel Mitchell,2.62,2.755,0.1349999999999998
28,4,Lamar Odom,9.543333333333333,10.0,0.456666666666667
28,4,Lauren Alaina,2.546666666666667,2.115,0.43166666666666664
28,4,Sailor Brinkley-Cook,2.8583333333333334,3.2933333333333334,0.43500000000000005
28,4,Sean Spicer,8.651666666666667,8.126666666666667,0.5250000000000004
28,6,Ally Brooke,3.5216666666666665,4.443333333333333,0.9216666666666669
28,6,Hannah Brown,5.67,5.778333333333333,0.10833333333333339
28,6,James Van Der Beek,2.808333333333333,2.89,0.081666666666667
28,6,Karamo Brown,5.861666666666666,3.5233333333333334,2.338333333333333
28,6,Kate Flannery,3.9283333333333332,3.683333333333333,0.2450000000000001
28,6,Kel Mitchell,6.326666666666667,5.92,0.4066666666666672
28,6,Lauren Alaina,8.271666666666667,8.19,0.081666666666667
28,6,Sailor Brinkley-Cook,3.79,5.378333333333333,1.588333333333333
28,6,Sean Spicer,4.821666666666666,5.193333333333333,0.37166666666666703
28,7,Ally Brooke,1.7166666666666666,1.7116666666666667,0.004999999999999893
28,7,Hannah Brown,4.148333333333333,4.41,0.2616666666666667
28,7,James Van Der Beek,5.498333333333333,3.1866666666666665,2.3116666666666665
28,7,Karamo Brown,4.788333333333333,4.945,0.15666666666666718
28,7,Kate Flannery,6.3966666666666665,7.065,0.6683333333333339
28,7,Kel Mitchell,6.068333333333333,5.633333333333334,0.4349999999999996
28,7,Lauren Alaina,1.8283333333333334,2.93,1.1016666666666668
28,7,Sean Spicer,5.555,6.118333333333333,0.5633333333333335
28,8,Ally Brooke,3.3783333333333334,3.44,0.061666666666666536
28,8,Hannah Brown,3.7816666666666667,3.841666666666667,0.06000000000000005
28,8,James Van Der Beek,2.875,2.9133333333333336,0.03833333333333355
28,8,Kate Flannery,5.246666666666667,5.008333333333334,0.23833333333333329
28,8,Kel Mitchell,1.78,1.8216666666666668,0.04166666666666674
28,8,Lauren Alaina,4.2716666666666665,4.451666666666667,0.1800000000000006
28,8,Sean Spicer,6.666666666666667,6.523333333333333,0.14333333333333353
28,9,Ally Brooke,3.56,3.033333333333333,0.5266666666666668
28,9,Hannah Brown,2.5283333333333333,3.6783333333333332,1.15
28,9,James Van Der Beek,1.1666666666666667,1.0233333333333334,0.1433333333333333
28,9,Kel Mitchell,2.745,3.0416666666666665,0.2966666666666664
28,9,Lauren Alaina,5.0,4.401666666666666,0.5983333333333336
28,9,Sean Spicer,6.0,5.821666666666666,0.17833333333333368
28,10,Ally Brooke,3.0166666666666666,1.6766666666666667,1.3399999999999999
28,10,Hannah Brown,2.345,2.745,0.3999999999999999
28,10,James Van Der Beek,4.858333333333333,4.8933333333333335,0.03500000000000014
28,10,Kel Mitchell,1.155,1.645,0.49
28,10,Lauren Alaina,3.625,4.04,0.41500000000000004
