Season,Method,Entertainment,Robustness,Fairness,Fan_Influence
1,A,0.6633333333333333,0.028571428571428574,0.3714285714285715,0.08571428571428573
1,B,1.35,0.942857142857143,0.4285714285714286,0.14285714285714288
1,C,0.36666666666666664,1.0,0.4285714285714286,0.6
2,A,2.376190476190476,0.9151515151515152,0.34545454545454546,0.12727272727272726
2,B,2.1566137566137566,-0.18787878787878787,0.6121212121212121,0.6
2,C,2.3142857142857145,0.9030303030303028,0.38181818181818183,0.28484848484848485
3,A,1.829320987654321,0.7363636363636363,0.23636363636363636,0.2545454545454546
3,B,2.2135802469135806,0.17272727272727276,0.14545454545454548,0.11818181818181818
3,C,1.6838888888888888,0.6363636363636364,0.07272727272727274,0.10000000000000002
4,A,1.8869444444444448,0.7636363636363637,0.10909090909090911,0.02727272727272728
4,B,1.9827777777777775,0.7090909090909092,0.13636363636363638,0.06363636363636364
4,C,1.8823809523809523,1.0,0.09090909090909091,0.1272727272727273
5,A,2.374722222222222,0.8951048951048951,0.16783216783216784,0.16783216783216784
5,B,2.0294444444444446,-0.15384615384615385,0.21678321678321683,0.21678321678321683
5,C,2.3810714285714285,0.8671328671328673,0.1398601398601399,0.1398601398601399
6,A,1.6502886002886006,0.4895104895104896,0.1328671328671329,0.1786342494262783
6,B,1.7166666666666666,0.20979020979020982,0.1188811188811189,0.18563951410966179
6,C,1.7473665223665227,0.1398601398601399,0.32867132867132864,0.3187395430939476
7,A,1.8225829725829727,0.8296703296703297,0.14285714285714285,0.08803309566091672
7,B,1.9299422799422798,0.45604395604395603,0.14285714285714285,0.08803309566091672
7,C,1.8656204906204905,0.6868131868131868,0.06593406593406594,0.016506205436421884
8,A,2.0731646825396823,0.4450549450549451,0.2087912087912088,0.054945054945054944
8,B,2.081448412698413,0.16483516483516483,0.1758241758241758,0.03846153846153846
8,C,2.170684523809524,0.6978021978021978,0.2967032967032967,0.19230769230769232
9,A,2.748015873015873,0.06470588235294117,0.019131719675420957,0.019131719675420957
9,B,3.1640873015873012,0.45294117647058824,0.09271525688857848,0.07211186646889438
9,C,2.7435515873015874,0.4941176470588235,0.07358353721315752,0.03237675637378931
10,A,1.516190476190476,0.8272727272727273,0.24545454545454545,0.29090909090909095
10,B,1.3371428571428572,0.41818181818181827,0.22727272727272727,0.26363636363636367
10,C,1.2495238095238095,0.9454545454545454,0.26363636363636367,0.30000000000000004
11,A,1.8074999999999999,0.7342657342657343,0.034965034965034975,0.034965034965034975
11,B,1.6780158730158732,0.35664335664335667,0.034965034965034975,0.1258741258741259
11,C,1.8066666666666666,0.43356643356643365,0.11188811188811189,0.1258741258741259
12,A,2.016170634920635,0.4727272727272727,0.615035764230577,0.6181818181818182
12,B,2.694642857142857,-0.3090909090909091,0.12300715284611541,0.14545454545454548
12,C,2.016170634920635,0.41818181818181827,0.615035764230577,0.6181818181818182
13,A,2.632222222222222,0.0,0.4825174825174825,0.4825174825174825
13,B,2.302777777777778,0.4825174825174825,0.5524475524475525,0.5244755244755246
13,C,2.3024603174603175,-0.055944055944055944,0.04895104895104895,0.07692307692307693
14,A,2.1460678210678212,0.5034965034965035,0.6153846153846154,0.5874125874125874
14,B,2.5667929292929292,0.3636363636363637,0.5034965034965035,0.5734265734265735
14,C,2.38742784992785,0.4685314685314686,0.5034965034965035,0.5734265734265735
15,A,2.273478835978836,0.2087912087912088,0.016483516483516484,0.03296703296703297
15,B,2.52771164021164,0.4340659340659341,0.17032967032967034,0.23076923076923078
15,C,2.357804232804233,0.6483516483516483,0.34065934065934067,0.30769230769230765
16,A,2.2647186147186145,0.2447552447552448,0.5174825174825175,0.5104895104895105
16,B,2.4966810966810966,-0.006993006993006993,0.5104895104895105,0.5174825174825175
16,C,2.0653679653679657,0.5454545454545455,0.9090909090909092,0.9020979020979022
17,A,2.313365800865801,0.2937062937062937,0.11188811188811189,0.1258741258741259
17,B,2.2047077922077922,0.32867132867132864,0.3216783216783217,0.2937062937062937
17,C,2.3767316017316014,0.5664335664335665,0.006993006993006993,0.006993006993006993
18,A,2.5584126984126985,0.034965034965034975,0.013986013986013986,0.06993006993006995
18,B,3.43718253968254,-0.1958041958041958,0.013986013986013986,0.06993006993006995
18,C,2.51234126984127,0.7762237762237763,0.06293706293706294,0.027972027972027972
19,A,2.533333333333333,0.8516483516483516,0.03296703296703297,0.07692307692307691
19,B,3.0992063492063493,0.5274725274725275,0.054945054945054944,0.04395604395604395
19,C,2.8005291005291006,0.945054945054945,0.39560439560439564,0.34065934065934067
20,A,2.741955266955267,0.8391608391608393,0.4895104895104896,0.41958041958041964
20,B,3.085137085137085,0.3706293706293707,0.4545454545454546,0.41958041958041964
20,C,2.6914862914862914,0.5384615384615385,0.21678321678321683,0.1328671328671329
21,A,1.621875,0.9560439560439561,0.5164835164835164,0.5138199967021417
21,B,1.5762731481481482,0.6483516483516483,0.46153846153846156,0.480670319495552
21,C,1.607986111111111,0.9835164835164836,0.4945054945054945,0.4419956960878639
22,A,1.983008658008658,0.2377622377622378,0.2797202797202798,0.2517482517482518
22,B,2.357756132756133,0.3216783216783217,0.7132867132867133,0.7832167832167832
22,C,2.1366522366522367,0.8671328671328673,0.6083916083916086,0.6013986013986015
23,A,2.618700396825397,0.33516483516483514,0.19780219780219782,0.1868131868131868
23,B,3.251140873015873,0.46703296703296704,0.17032967032967034,0.25274725274725274
23,C,2.5640046296296295,0.19230769230769232,0.4450549450549451,0.38461538461538464
24,A,1.8225108225108224,0.6153846153846154,0.3747816605610153,0.23076923076923078
24,B,1.8909090909090909,0.2377622377622378,0.2907184843604137,0.17482517482517487
24,C,1.6934343434343433,0.5594405594405596,0.34325796948578974,0.2447552447552448
25,A,2.5268353174603173,0.4175824175824176,0.5054945054945055,0.44566754678339093
25,B,2.6272156084656086,-0.24175824175824176,0.532967032967033,0.4731778891774273
25,C,2.474867724867725,0.46703296703296704,0.6098901098901099,0.5832192587535732
26,A,1.7023809523809526,-0.35757575757575755,0.34545454545454546,0.22510994381306007
26,B,1.7023809523809526,-0.24848484848484845,0.34545454545454546,0.22510994381306007
26,C,1.7261904761904763,0.5151515151515151,0.34545454545454546,0.22510994381306007
27,A,1.8183035714285716,0.17032967032967034,0.39560439560439564,0.34615384615384615
27,B,1.8778138528138528,0.6813186813186813,0.06593406593406594,0.10989010989010989
27,C,1.6228896103896104,0.43956043956043955,0.0879120879120879,0.2087912087912088
28,A,2.3244588744588746,0.6433566433566434,0.2937062937062937,0.31468531468531474
28,B,2.3257034632034634,0.3846153846153847,0.3076923076923077,0.3846153846153847
28,C,2.3374458874458877,0.5034965034965035,0.2937062937062937,0.31468531468531474
29,A,3.0315476190476187,0.2714285714285714,0.6642857142857141,0.6428571428571428
29,B,3.6047052154195014,0.475,0.532142857142857,0.5107142857142856
29,C,3.0898526077097506,0.7285714285714285,0.7357142857142855,0.7142857142857142
30,A,2.8323412698412698,0.42142857142857143,0.2785714285714285,0.24642857142857136
30,B,3.5729024943310663,0.47857142857142854,0.21428571428571427,0.15357142857142855
30,C,2.8884637188208617,0.8214285714285712,0.37857142857142856,0.28928571428571426
31,A,2.650952380952381,0.4558823529411765,0.4827080041183134,0.4647058823529412
31,B,3.6079100529100527,0.4382352941176471,0.3944077594625243,0.36176470588235293
31,C,2.64526455026455,0.6705882352941177,0.4326711988133663,0.43529411764705883
32,A,2.815720390720391,0.6175824175824175,0.4202422784999326,0.38461538461538464
32,B,3.425579975579976,0.16483516483516483,0.4202422784999326,0.38461538461538464
32,C,3.126831501831502,0.6483516483516484,0.39603984361250194,0.3626373626373627
33,A,1.961656746031746,0.26373626373626374,0.04395604395604395,0.15151572644557487
33,B,1.929861111111111,0.054945054945054944,0.23076923076923078,0.15702538922541398
33,C,1.9626488095238095,0.4230769230769231,0.027472527472527472,0.16804471478509214
34,A,2.400549450549451,0.44175824175824174,0.13406593406593406,0.09020907548951435
34,B,2.5853021978021977,0.2175824175824176,0.1252747252747253,0.08140819007590318
34,C,2.26753663003663,0.6879120879120879,0.17362637362637365,0.15181527338479245
